Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
19,Eduard Bazardo,27,,0.3,0,0,,2.63,9,0,2,0,0,0,13.2,9,4,4,2,4,0,14,0,0,0,54,154,3.99,0.951,5.9,1.3,2.6,9.2,3.50,
20,Luke Weaver,29,,-0.2,0,1,.000,6.08,5,1,1,0,0,0,13.1,16,9,9,2,3,0,8,1,0,0,58,67,4.91,1.425,10.8,1.4,2.0,5.4,2.67,
21,Emerson Hancock,24,,0.1,0,0,,4.50,3,3,0,0,0,0,12.0,13,6,6,1,3,0,6,0,0,0,49,90,4.09,1.333,9.8,0.8,2.3,4.5,2.00,
22,Juan Then,23,,0.0,0,0,,4.91,9,0,4,0,0,0,11.0,14,6,6,3,2,0,5,0,0,1,48,83,6.44,1.455,11.5,2.5,1.6,4.1,2.50,
23,Dominic Leone,31,,0.1,0,0,,4.35,9,0,7,0,0,0,10.1,7,5,5,5,8,0,10,1,0,0,47,94,10.22,1.452,6.1,4.4,7.0,8.7,1.25,
24,Tommy Milone*,36,,0.2,0,1,.000,2.00,2,2,0,0,0,0,9.0,7,3,2,1,6,0,3,0,0,0,40,205,6.03,1.444,7.0,1.0,6.0,3.0,0.50,
25,Matt Festa,30,,0.1,0,0,,4.00,8,0,4,0,0,0,9.0,4,4,4,1,12,0,13,0,0,1,43,103,5.81,1.778,4.0,1.0,12.0,13.0,1.08,
26,Diego Castillo,29,,-0.2,0,0,,6.23,8,0,1,0,0,0,8.2,7,6,6,2,7,0,7,1,0,0,41,66,7.41,1.615,7.3,2.1,7.3,7.3,1.00,
27,Easton McGee,25,,0.5,0,0,,0.00,1,1,0,0,0,0,6.2,1,0,0,0,1,0,2,0,0,0,22,,3.11,0.300,1.4,0.0,1.4,2.7,2.00,
28,Darren McCaughan,27,,-0.1,0,0,,5.40,3,0,3,0,0,0,5.0,7,5,3,1,3,0,10,0,0,0,27,79,3.66,2.000,12.6,1.8,5.4,18.0,3.33,
29,Robbie Ray*,31,,-0.2,0,1,.000,8.10,1,1,0,0,0,0,3.1,4,5,3,0,5,0,3,0,0,1,19,54,5.96,2.700,10.8,0.0,13.5,8.1,0.60,
30,José Rodríguez,27,,-0.1,0,0,,9.00,1,0,1,0,0,0,3.0,3,3,3,0,1,0,1,0,0,0,12,49,3.59,1.333,9.0,0.0,3.0,3.0,1.00,
