Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
22,Jordan Zimmermann,31,P,0.0,3,6,6,0,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-10,.149,-31,1,0,0,0,0,0,1,
23,Justin Verlander,34,P,0.0,2,6,6,0,1,0,0,0,1,0,0,0,4,.167,.167,.167,.333,-10,.149,-31,1,0,0,0,0,0,1,CYA-5
24,Michael Fulmer,24,P,-0.1,2,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-137,0,1,0,0,0,0,1,AS
25,Matthew Boyd*,26,P,0.0,2,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,80,.266,53,1,0,0,0,0,0,1,
26,Aníbal Sánchez,33,P,0.0,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-138,0,0,0,0,0,0,1,
27,Edward Mujica,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
28,Jeff Ferrell,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
29,Bruce Rondón,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
30,Warwick Saupold,27,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
31,Daniel Stumpf*,26,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
32,Chad Bell,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
33,Drew VerHagen,26,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
34,Shane Greene,28,P,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
35,Alex Wilson,30,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
36,Justin Wilson*,29,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
37,Blaine Hardy*,30,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
,Team Totals,,,10.2,162,6150,5556,735,1435,289,35,187,699,65,34,503,1313,.258,.324,.424,.748,98,.328,98,2355,128,52,11,27,21,,
,Non-Pitcher Totals,,,10.3,,6128,5534,735,1432,289,35,187,698,65,34,503,1305,.259,.325,.425,.750,98,.329,99,2352,127,52,11,27,21,,
,Pitcher Totals,,,-0.1,,22,22,0,3,0,0,0,1,0,0,0,8,.136,.136,.136,.273,-27,.117,-53,3,1,0,0,0,0,,
