Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
18,Matt Bush,36,,-0.4,0,2,.000,4.30,25,1,4,0,0,2,23.0,16,15,11,6,8,2,29,1,0,1,93,95,5.16,1.043,6.3,2.3,3.1,11.3,3.63,
19,Taylor Rogers*,31,,-0.4,3,3,.500,5.48,24,0,5,0,0,3,23.0,20,16,14,6,10,1,36,3,0,1,100,74,5.07,1.304,7.8,2.3,3.9,14.1,3.60,
20,Jake Cousins,27,,0.3,2,1,.667,2.70,12,0,6,0,0,0,13.1,10,4,4,1,8,1,21,2,0,4,59,153,3.19,1.350,6.8,0.7,5.4,14.2,2.63,
21,Miguel Sánchez,28,,0.0,1,1,.500,4.05,12,0,3,0,0,0,13.1,12,7,6,3,8,2,9,0,0,0,58,102,6.49,1.500,8.1,2.0,5.4,6.1,1.13,
22,Chi Chi González,30,,-0.2,0,1,.000,6.35,4,2,2,0,0,0,11.1,12,8,8,3,4,0,8,0,0,0,48,65,6.20,1.412,9.5,2.4,3.2,6.4,2.00,
23,José Ureña,30,,-0.1,0,0,,3.52,4,0,1,0,0,0,7.2,7,5,3,1,5,0,3,0,0,1,36,120,5.98,1.565,8.2,1.2,5.9,3.5,0.60,
24,Justin Topa,31,,-0.3,0,0,,4.91,7,0,1,0,0,0,7.1,9,6,4,0,4,1,4,0,0,0,35,86,3.66,1.773,11.0,0.0,4.9,4.9,1.00,
25,Ethan Small*,25,,-0.2,0,0,,7.11,2,2,0,0,0,0,6.1,8,5,5,1,8,0,7,0,0,0,33,60,6.74,2.526,11.4,1.4,11.4,9.9,0.88,
26,Jake McGee*,35,,-0.1,0,0,,6.35,6,0,0,0,0,0,5.2,7,4,4,2,1,0,4,0,0,0,25,67,6.82,1.412,11.1,3.2,1.6,6.4,4.00,
27,Luke Barker,30,,-0.1,0,0,,11.25,3,0,2,0,0,0,4.0,7,5,5,2,0,0,3,0,0,1,19,39,8.11,1.750,15.8,4.5,0.0,6.8,,
28,Connor Sadzeck,30,,-0.1,0,0,,9.00,2,0,2,0,0,0,3.0,4,3,3,2,1,0,2,0,0,1,13,50,11.45,1.667,12.0,6.0,3.0,6.0,2.00,
29,Mike Brosseau,28,,0.1,0,0,,0.00,3,0,3,0,0,0,3.0,2,0,0,0,1,0,0,0,0,0,13,,4.11,1.000,6.0,0.0,3.0,0.0,0.00,
30,J.C. Mejía,25,,-0.2,0,0,,23.14,2,0,1,0,0,0,2.1,5,6,6,0,5,0,1,0,0,0,16,20,8.68,4.286,19.3,0.0,19.3,3.9,0.20,
31,Pablo Reyes,28,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.11,0.000,0.0,0.0,0.0,0.0,,
32,Jace Peterson,32,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.11,0.000,0.0,0.0,0.0,0.0,,
33,Victor Caratini,28,,-0.1,0,0,,27.00,1,0,1,0,0,0,1.0,2,3,3,0,1,0,0,1,0,0,7,21,9.11,3.000,18.0,0.0,9.0,0.0,0.00,
,Team Totals,,,11.0,86,76,.531,3.83,162,162,162,0,0,52,1446.0,1238,688,615,190,521,12,1530,67,4,47,6057,106,3.92,1.216,7.7,1.2,3.2,9.5,2.94,
