Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
16,Sean Poppen,28,,-0.1,2,2,.500,4.40,29,0,6,0,0,0,28.2,27,15,14,5,12,3,22,1,0,2,120,93,5.21,1.360,8.5,1.6,3.8,6.9,1.83,
17,Drey Jameson,24,,1.2,3,0,1.000,1.48,4,4,0,0,0,0,24.1,20,4,4,2,7,0,24,1,0,1,98,276,3.19,1.110,7.4,0.7,2.6,8.9,3.43,
18,Corbin Martin,26,,-0.2,0,1,.000,4.84,7,2,1,0,0,0,22.1,25,14,12,3,12,0,21,0,0,2,101,84,4.59,1.657,10.1,1.2,4.8,8.5,1.75,
19,Dallas Keuchel*,34,,-0.9,0,2,.000,9.64,4,4,0,0,0,0,18.2,27,22,20,4,7,0,18,0,0,0,89,42,5.09,1.821,13.0,1.9,3.4,8.7,2.57,
20,Ryne Nelson,24,,0.8,1,1,.500,1.47,3,3,0,0,0,0,18.1,9,4,3,2,6,1,16,0,0,0,69,278,3.77,0.818,4.4,1.0,2.9,7.9,2.67,
21,Taylor Widener,27,,0.2,0,1,.000,3.63,14,0,4,0,0,0,17.1,22,8,7,2,5,1,14,3,0,0,82,113,4.38,1.558,11.4,1.0,2.6,7.3,2.80,
22,Keynan Middleton,28,,-0.6,1,2,.333,5.29,18,0,2,0,0,0,17.0,16,13,10,5,3,0,15,1,0,1,69,78,5.88,1.118,8.5,2.6,1.6,7.9,5.00,
23,Luis Frías,24,,-1.0,1,1,.500,10.59,15,0,6,0,0,0,17.0,23,20,20,1,17,0,14,1,1,4,90,39,5.41,2.353,12.2,0.5,9.0,7.4,0.82,
24,Edwin Uceta,24,,-0.2,0,0,,5.82,10,0,5,0,0,0,17.0,14,12,11,2,7,0,13,1,0,1,73,70,4.52,1.235,7.4,1.1,3.7,6.9,1.86,
25,Luke Weaver,28,,-0.4,1,1,.500,7.71,12,1,4,0,0,0,16.1,24,14,14,1,5,0,19,1,0,0,79,53,2.68,1.776,13.2,0.6,2.8,10.5,3.80,
