Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
10,Alex Wood*,32,,0.7,5,5,.500,4.33,29,12,2,0,0,0,97.2,98,52,47,9,42,0,74,8,2,3,429,97,4.47,1.433,9.0,0.8,3.9,6.8,1.76,
11,Ross Stripling,33,,0.1,0,5,.000,5.36,22,11,5,0,0,0,89.0,104,54,53,20,16,0,70,2,1,2,381,78,5.21,1.348,10.5,2.0,1.6,7.1,4.38,
12,Jakob Junis,30,,0.8,4,3,.571,3.87,40,4,6,0,0,1,86.0,90,42,37,12,21,1,96,5,0,5,367,108,3.74,1.291,9.4,1.3,2.2,10.0,4.57,
13,Tristan Beck,27,,1.1,3,3,.500,3.92,33,3,13,0,0,2,85.0,83,40,37,10,21,2,68,2,0,3,354,107,4.00,1.224,8.8,1.1,2.2,7.2,3.24,
14,Keaton Winn,25,,0.3,1,3,.250,4.68,9,5,2,0,0,1,42.1,36,22,22,6,8,0,35,5,0,1,172,90,4.37,1.039,7.7,1.3,1.7,7.4,4.38,
15,John Brebbia,33,,0.2,3,5,.375,3.99,40,10,6,0,0,0,38.1,31,21,17,6,14,2,47,0,0,0,161,105,3.93,1.174,7.3,1.4,3.3,11.0,3.36,
16,Kyle Harrison*,21,,0.2,1,1,.500,4.15,7,7,0,0,0,0,34.2,29,19,16,8,11,0,35,4,0,0,147,101,5.53,1.154,7.5,2.1,2.9,9.1,3.18,
17,Luke Jackson,31,,0.6,2,2,.500,2.97,33,0,9,0,0,0,33.1,26,14,11,3,15,2,43,1,1,3,143,142,3.29,1.230,7.0,0.8,4.1,11.6,2.87,
18,Sean Hjelle,26,,-0.6,2,1,.667,6.52,15,0,7,0,0,0,29.0,38,25,21,3,13,1,31,4,0,5,139,65,4.22,1.759,11.8,0.9,4.0,9.6,2.38,
19,Mauricio Llovera,27,,0.2,1,0,1.000,1.69,5,0,3,0,0,0,5.1,4,1,1,1,2,0,5,0,0,1,21,264,4.94,1.125,6.8,1.7,3.4,8.4,2.50,
20,Cole Waites,25,,-0.2,0,0,,15.43,3,0,2,0,0,0,2.1,6,5,4,0,2,0,2,0,0,0,15,31,4.11,3.429,23.1,0.0,7.7,7.7,1.00,
21,David Villar,26,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,3,,6.26,1.000,0.0,0.0,9.0,0.0,0.00,
22,Brandon Crawford,36,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,5,,6.26,2.000,9.0,0.0,9.0,0.0,0.00,
23,Brett Wisely,24,,0.0,0,0,,9.00,1,0,1,0,0,0,1.0,1,1,1,1,0,0,0,0,0,0,4,63,16.26,1.000,9.0,9.0,0.0,0.0,,
24,Matt Beaty,30,,-0.1,0,0,,27.00,1,0,1,0,0,0,1.0,3,3,3,0,1,0,1,0,0,0,7,21,4.26,4.000,27.0,0.0,9.0,9.0,1.00,
,Team Totals,,,16.5,79,83,.488,4.02,162,162,158,4,2,50,1434.2,1395,719,641,173,403,22,1359,71,12,60,6039,104,3.92,1.253,8.8,1.1,2.5,8.5,3.37,
