Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Avisaíl García,30,RF,3.0,135,515,461,68,121,18,0,29,86,8,4,38,121,0.262,0.33,0.49,0.82,119,0.357,121,226,12,11,0,5,5,*9H/8,0
Luis Urías,24,3B,3.3,150,570,490,77,122,25,1,23,75,5,1,63,116,0.249,0.345,0.445,0.789,112,0.348,114,218,9,10,1,3,3,564H,0
Willy Adames,25,SS,3.6,99,413,365,61,104,26,0,20,58,4,2,47,105,0.285,0.366,0.521,0.886,137,0.384,140,190,8,0,0,1,1,6/DH,MVP-16
Christian Yelich*,29,LF,1.3,117,475,399,70,99,19,2,9,51,9,3,70,113,0.248,0.362,0.373,0.736,101,0.332,102,149,5,3,0,3,5,7H/D9,0
Kolten Wong*,30,2B,3.4,116,492,445,70,121,32,2,14,50,12,5,31,83,0.272,0.335,0.447,0.783,110,0.346,113,199,2,13,0,3,1,*4/H,0
Omar Narváez*,29,C,1.5,123,445,391,54,104,20,0,11,49,0,0,41,84,0.266,0.342,0.402,0.743,101,0.326,99,157,13,7,0,6,3,*2H/4D,AS
Tyrone Taylor,27,OF,1.7,93,271,243,33,60,9,3,12,43,6,1,20,59,0.247,0.321,0.457,0.778,108,0.345,110,111,6,7,0,1,1,79H8,0
Lorenzo Cain,35,CF,2.3,78,286,257,40,66,13,0,8,36,13,2,26,48,0.257,0.329,0.401,0.729,97,0.342,105,103,5,2,0,1,0,8/H,0
Manny Piña,34,C,1.4,75,208,180,27,34,6,0,13,33,0,0,22,38,0.189,0.293,0.439,0.732,95,0.317,92,79,4,5,0,1,0,2H,0
Jace Peterson*,31,2B,0.7,94,302,259,36,64,11,1,6,31,10,1,38,68,0.247,0.348,0.367,0.714,95,0.328,96,95,1,3,0,2,0,43H957/16,0
