Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
11,Mike Yastrzemski*,32,OF,2.4,106,381,330,54,77,23,1,15,43,2,2,45,99,.233,.330,.445,.775,114,.333,111,147,5,3,2,1,3,987H/D,
12,Blake Sabol*,25,UT,0.2,110,344,310,36,73,10,0,13,44,4,2,24,117,.235,.301,.394,.695,92,.310,94,122,4,6,2,2,0,27HD,
13,Casey Schmitt,24,IF,-0.5,90,277,253,28,52,15,0,5,30,2,1,13,65,.206,.255,.324,.580,60,.256,55,82,7,5,3,3,0,654H,
14,Austin Slater,30,OF,0.7,89,207,185,24,50,9,0,5,20,2,2,20,58,.270,.348,.400,.748,108,.339,116,74,2,2,0,0,0,H87/9D,
15,David Villar,26,IF,-0.4,46,140,124,15,18,6,0,5,12,1,1,11,45,.145,.236,.315,.550,52,.249,51,39,1,4,0,1,0,45/3HD1,
16,Brett Wisely*,24,2B,-0.2,51,131,120,10,21,5,0,2,8,2,1,9,40,.175,.231,.267,.497,38,.219,28,32,2,0,1,1,0,48/H167,
17,Joey Bart,26,C,-0.4,30,95,87,9,18,5,0,0,5,0,0,3,23,.207,.263,.264,.528,48,.237,41,23,0,4,0,1,0,2/H,
18,Wade Meckler*,23,CF,0.0,20,64,56,6,13,1,0,0,4,0,0,6,25,.232,.328,.250,.578,65,.271,66,14,0,2,0,0,0,8/H7,
19,Heliot Ramos,23,OF,-0.3,25,60,56,5,10,4,0,1,2,0,0,4,20,.179,.233,.304,.537,48,.250,51,17,1,0,0,0,0,79/H8D,
20,Paul DeJong,29,SS,-0.4,18,50,49,2,9,2,0,1,5,0,0,0,16,.184,.180,.286,.466,27,.197,12,14,1,0,0,1,0,6/H4D,
21,Bryce Johnson#,27,CF,-0.2,30,48,43,7,7,1,0,1,3,3,0,4,15,.163,.229,.256,.485,35,.230,26,11,0,0,0,1,0,8/H7,
22,Marco Luciano,21,SS,0.1,14,45,39,4,9,3,0,0,0,1,0,6,17,.231,.333,.308,.641,81,.296,80,12,0,0,0,0,0,6/D,
23,Tyler Fitzgerald,25,UT,0.2,10,34,32,3,7,2,0,2,5,2,0,2,10,.219,.265,.469,.733,99,.323,93,15,0,0,0,0,0,/85,
24,Darin Ruf,36,DH,0.0,9,27,23,1,6,2,0,0,3,0,0,4,9,.261,.370,.348,.718,102,.328,106,8,0,0,0,0,0,/DH,
25,Isan Díaz*,27,IF,-0.1,6,21,19,0,1,0,0,0,1,0,0,2,7,.053,.143,.053,.195,-42,.109,-50,1,0,0,0,0,0,/45,
26,Johan Camargo#,29,IF,-0.2,8,20,18,0,4,0,0,0,2,0,0,1,4,.222,.300,.222,.522,49,.251,51,4,2,1,0,0,0,/65,
27,Roberto Pérez,34,C,-0.1,5,17,15,0,2,0,0,0,1,0,0,2,6,.133,.235,.133,.369,7,.188,6,2,0,0,0,0,0,/2,
28,Cal Stevenson*,26,CF,0.0,6,12,9,1,0,0,0,0,0,0,0,3,2,.000,.250,.000,.250,-21,.250,50,0,0,0,0,0,0,/8,
29,Mark Mathias,28,2B,-0.1,5,10,10,1,2,0,0,0,2,0,0,0,4,.200,.200,.200,.400,12,.179,0,2,1,0,0,0,0,/4H,
30,AJ Pollock,35,OF,-0.3,5,6,6,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-130,0,0,0,0,0,0,/789,
31,Matt Beaty*,30,DH,-0.1,4,5,5,1,1,0,0,0,1,0,0,0,2,.200,.200,.200,.400,12,.179,2,1,0,0,0,0,0,/DH1,
32,Austin Wynns,32,C,0.0,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-125,0,0,0,0,0,0,/2,
