Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
11,Josh Reddick*,29,RF,0.0,47,167,155,20,40,6,0,2,9,3,3,11,22,.258,.307,.335,.643,74,.286,72,52,1,0,0,0,0,9/H,
12,A.J. Ellis,35,C,-0.2,53,161,139,8,27,5,0,1,13,1,1,16,24,.194,.285,.252,.537,47,.255,45,35,5,2,3,1,2,2/H,
13,Andrew Toles*,24,LF,1.4,48,115,105,19,33,9,1,3,16,1,1,8,25,.314,.365,.505,.870,132,.364,127,53,1,1,0,1,2,H7/89,
14,Scott Van Slyke,29,UT,-0.2,52,113,102,10,23,6,0,1,7,1,2,5,24,.225,.292,.314,.606,64,.271,62,32,3,5,0,1,1,H79/38,
15,Carl Crawford*,34,LF,-1.1,30,87,81,8,15,2,1,0,6,0,1,4,11,.185,.230,.235,.464,26,.213,20,19,3,1,0,1,0,7/HD,
16,Rob Segedin,27,UT,-0.2,40,83,73,9,17,2,1,2,12,0,0,6,22,.233,.301,.370,.671,80,.292,73,27,1,2,0,2,0,H/3795,
17,Charlie Culberson,27,UT,0.4,34,68,67,6,20,3,0,1,7,1,0,1,13,.299,.309,.388,.697,87,.316,88,26,2,0,0,0,0,H64/57,
18,Chris Taylor,25,IF,0.1,34,62,58,8,12,2,2,1,7,0,0,4,13,.207,.258,.362,.620,65,.276,61,21,3,0,0,0,1,H5/46,
19,Carlos Ruiz,37,C,0.2,14,40,36,3,10,2,0,0,3,0,0,3,5,.278,.350,.333,.683,87,.310,86,12,1,1,0,0,0,/2H,
20,Austin Barnes,26,UT,-0.1,21,37,32,3,5,1,0,0,2,0,0,5,9,.156,.270,.188,.458,28,.220,21,6,0,0,0,0,0,/2H45,
21,Andre Ethier*,34,LF,-0.2,16,26,24,2,5,1,0,1,2,0,0,2,6,.208,.269,.375,.644,72,.266,53,9,1,0,0,0,1,H/7D,
22,Will Venable*,33,OF,-0.3,12,19,18,2,1,1,0,0,0,0,0,0,5,.056,.105,.111,.216,-41,.104,-63,2,0,1,0,0,0,/H97,
23,Micah Johnson*,25,UT,-0.1,7,6,6,1,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-9,.150,-29,1,0,0,0,0,0,/H47,
24,Zach Walters#,26,UT,-0.1,3,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-140,0,0,0,0,0,0,/H379,
