Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
12,Keegan Akin*,27,,0.7,3,3,.500,3.20,45,1,10,0,0,2,81.2,69,35,29,10,20,0,77,1,0,1,329,122,3.59,1.090,7.6,1.1,2.2,8.5,3.85,
13,Bruce Zimmermann*,27,,-0.9,2,5,.286,5.99,15,13,1,0,0,0,73.2,97,52,49,21,12,0,49,2,0,1,320,65,6.06,1.480,11.9,2.6,1.5,6.0,4.08,
14,Joey Krehbiel,29,,0.2,5,5,.500,3.90,56,0,8,0,0,1,57.2,53,28,25,9,18,1,45,3,0,1,244,100,4.67,1.231,8.3,1.4,2.8,7.0,2.50,
15,Mike Baumann,26,,0.0,1,3,.250,4.72,13,4,2,0,0,0,34.1,43,19,18,3,9,0,23,2,0,1,149,83,3.87,1.515,11.3,0.8,2.4,6.0,2.56,
16,Nick Vespi*,26,,0.2,5,0,1.000,4.10,25,0,4,0,0,1,26.1,29,12,12,5,8,1,28,1,0,0,112,96,4.48,1.405,9.9,1.7,2.7,9.6,3.50,
17,Logan Gillaspie,25,,0.1,1,0,1.000,3.12,17,0,6,0,0,0,17.1,20,8,6,1,3,0,10,2,0,1,74,127,3.57,1.327,10.4,0.5,1.6,5.2,3.33,
18,DL Hall*,23,,-0.2,1,1,.500,5.93,11,1,1,0,0,1,13.2,17,9,9,0,6,0,19,0,0,2,64,67,1.65,1.683,11.2,0.0,4.0,12.5,3.17,
19,Beau Sulser,28,,0.1,0,0,,3.55,6,0,4,0,0,0,12.2,16,5,5,2,3,0,9,0,0,0,53,113,4.45,1.500,11.4,1.4,2.1,6.4,3.00,
20,Paul Fry*,29,,-0.3,0,0,,6.00,12,0,6,0,0,0,12.0,9,9,8,1,7,0,12,2,0,2,54,67,4.45,1.333,6.8,0.8,5.3,9.0,1.71,
21,Travis Lakins Sr.,28,,-0.4,0,1,.000,9.58,6,0,3,0,0,0,10.1,14,11,11,3,6,0,8,1,0,1,50,42,7.37,1.935,12.2,2.6,5.2,7.0,1.33,
22,Rico Garcia,28,,0.0,0,0,,4.50,6,0,4,0,0,0,8.0,8,4,4,2,3,0,2,0,0,0,35,91,6.99,1.375,9.0,2.3,3.4,2.3,0.67,
23,John Means*,29,,0.2,0,0,,3.38,2,2,0,0,0,0,8.0,8,3,3,0,2,0,7,0,0,0,34,121,2.11,1.250,9.0,0.0,2.3,7.9,3.50,
24,Denyi Reyes,25,,0.2,0,0,,2.35,3,1,1,0,0,0,7.2,8,2,2,0,1,0,3,0,0,0,31,174,2.72,1.174,9.4,0.0,1.2,3.5,3.00,
25,Jake Reed,29,,-0.4,1,0,1.000,6.35,8,0,2,0,0,0,5.2,7,6,4,0,1,0,5,2,1,0,27,65,2.94,1.412,11.1,0.0,1.6,7.9,5.00,
26,Marcos Diplán,25,,0.1,0,0,,1.59,5,0,2,0,0,0,5.2,4,2,1,0,5,0,8,0,0,0,27,262,2.94,1.588,6.4,0.0,7.9,12.7,1.60,
27,Zac Lowther*,26,,-0.2,0,0,,8.44,1,0,0,0,0,0,5.1,8,6,5,0,2,0,1,1,0,0,28,49,4.42,1.875,13.5,0.0,3.4,1.7,0.50,
28,Louis Head,32,,0.1,0,0,,1.80,5,0,2,0,0,0,5.0,6,1,1,0,4,0,3,1,0,1,27,233,4.91,2.000,10.8,0.0,7.2,5.4,0.75,
29,Chris Ellis,29,,-0.3,0,0,,10.38,2,2,0,0,0,0,4.1,5,5,5,0,6,0,2,1,0,0,25,41,7.04,2.538,10.4,0.0,12.5,4.2,0.33,
30,Yennier Cano,28,,-0.4,0,1,.000,18.69,3,0,1,0,0,0,4.1,9,9,9,0,5,0,7,0,0,0,27,23,3.34,3.231,18.7,0.0,10.4,14.5,1.40,
31,Alex Wells*,25,,0.0,0,0,,4.91,2,0,2,0,0,0,3.2,5,2,2,2,0,0,6,0,0,0,16,88,6.93,1.364,12.3,4.9,0.0,14.7,,
32,Cody Sedlock,27,,-0.1,0,0,,15.00,1,0,0,0,0,0,3.0,6,5,5,0,1,0,3,0,0,0,16,29,2.11,2.333,18.0,0.0,3.0,9.0,3.00,
33,Logan Allen*,25,,-0.1,0,0,,10.80,3,0,0,0,0,0,1.2,3,2,2,0,2,0,1,0,0,0,10,44,5.51,3.000,16.2,0.0,10.8,5.4,0.50,
34,Ryan McKenna,25,,-0.1,0,0,,13.50,2,0,2,0,0,0,1.1,5,2,2,0,1,0,0,0,0,0,10,37,5.36,4.500,33.8,0.0,6.8,0.0,0.00,
35,Chris Owings,30,,0.0,0,0,,9.00,1,0,1,0,0,0,1.0,2,1,1,0,0,0,0,0,0,0,5,60,3.11,2.000,18.0,0.0,0.0,0.0,,
,Team Totals,,,13.9,83,79,.512,3.97,162,162,160,2,1,46,1433.1,1406,688,633,171,443,8,1214,64,4,47,6058,99,4.03,1.290,8.8,1.1,2.8,7.6,2.74,
