Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
Zach Neal,27,0,0.9,2,4,0.333,4.24,24,6,7,0,0,2,70.0,72,35,33,9,6,0,27,1,1,2,281,97.0,4.35,1.114,9.3,1.2,0.8,3.5,4.5,0.0
Jharel Cotton,24,0,1.0,2,0,1.0,2.15,5,5,0,0,0,0,29.1,20,10,7,4,4,0,23,0,0,1,112,192.0,3.76,0.818,6.1,1.2,1.2,7.1,5.75,0.0
Sean Doolittle*,29,0,0.9,2,3,0.4,3.23,44,0,13,0,0,4,39.0,33,14,14,6,8,2,45,0,0,1,155,128.0,3.45,1.051,7.6,1.4,1.8,10.4,5.63,0.0
Ross Detwiler*,30,0,-0.2,2,4,0.333,6.14,9,7,0,0,0,0,44.0,56,31,30,4,15,0,23,1,0,3,199,67.0,4.37,1.614,11.5,0.8,3.1,4.7,1.53,0.0
Fernando Rodriguez Jr.,32,0,0.4,2,0,1.0,4.2,34,0,4,0,0,0,40.2,30,19,19,3,17,0,37,1,0,2,163,98.0,3.61,1.156,6.6,0.7,3.8,8.2,2.18,0.0
Dillon Overton*,24,0,-1.1,1,3,0.25,11.47,7,5,2,0,0,0,24.1,48,31,31,12,7,0,17,1,0,1,128,36.0,9.15,2.26,17.8,4.4,2.6,6.3,2.43,0.0
Marc Rzepczynski*,30,RP,0.8,1,0,1.0,3.0,56,0,15,0,0,0,36.0,38,14,12,1,24,6,37,2,0,5,169,137.0,3.62,1.722,9.5,0.3,6.0,9.3,1.54,0.0
Andrew Triggs,27,0,0.5,1,1,0.5,4.31,24,6,7,0,0,0,56.1,56,30,27,5,13,1,55,3,0,2,238,95.0,3.2,1.225,8.9,0.8,2.1,8.8,4.23,0.0
Raul Alcántara,23,0,-0.3,1,3,0.25,7.25,5,5,0,0,0,0,22.1,31,18,18,9,4,0,14,4,1,1,103,57.0,8.21,1.567,12.5,3.6,1.6,5.6,3.5,0.0
Liam Hendriks,27,RP,0.7,0,4,0.0,3.76,53,0,10,0,0,0,64.2,69,31,27,6,14,3,71,1,0,3,275,109.0,2.85,1.284,9.6,0.8,1.9,9.9,5.07,0.0
Eric Surkamp*,28,0,-0.6,0,5,0.0,6.98,9,9,0,0,0,0,38.2,55,32,30,8,21,2,22,5,0,1,197,59.0,6.71,1.966,12.8,1.9,4.9,5.1,1.05,0.0
Chris Smith,35,0,0.4,0,0,0.0,2.92,13,0,8,0,0,0,24.2,14,9,8,2,13,0,29,0,0,0,100,142.0,3.43,1.095,5.1,0.7,4.7,10.6,2.23,0.0
Chris Bassitt,27,0,-0.2,0,2,0.0,6.11,5,5,0,0,0,0,28.0,35,20,19,5,14,0,23,0,0,2,133,68.0,5.32,1.75,11.3,1.6,4.5,7.4,1.64,0.0
J.B. Wendelken,23,0,-0.3,0,0,0.0,9.95,8,0,3,0,0,0,12.2,18,15,14,3,9,0,12,0,0,2,64,42.0,6.46,2.132,12.8,2.1,6.4,8.5,1.33,0.0
Patrick Schuster*,25,0,-0.2,0,0,0.0,10.8,5,0,3,0,0,0,6.2,9,8,8,0,6,0,6,0,0,0,35,40.0,4.05,2.25,12.2,0.0,8.1,8.1,1.0,0.0
Tyler Ladendorf,28,0,0.0,0,0,0.0,0.0,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,5,0.0,6.15,2.0,9.0,0.0,9.0,0.0,0.0,0.0
Josh Phegley,28,0,0.0,0,0,0.0,0.0,1,0,1,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,2,0.0,0.15,0.0,0.0,0.0,0.0,13.5,0.0,0.0
