Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Edwin Encarnación,36,DH,0.7,44,197,177,33,44,11,0,13,37,0,0,17,48,0.249,0.325,0.531,0.856,123,0.352,118,94,1,3,0,0,1,D3,0,Right,No,No,No,No,No,No,No,No,No
Aaron Hicks#,29,CF,1.3,59,255,221,41,52,10,0,12,36,1,2,31,72,0.235,0.325,0.443,0.769,103,0.333,107,98,2,0,0,3,0,8/DH,0,Both,No,No,No,No,No,No,No,No,No
Austin Romine,30,C,0.7,72,240,228,29,64,12,0,8,35,1,1,10,50,0.281,0.31,0.439,0.748,97,0.314,92,100,7,0,1,1,0,2/H1,0,Right,No,No,No,No,No,No,No,No,No
Cameron Maybin,32,OF,1.6,82,269,239,48,68,17,0,11,32,9,6,30,72,0.285,0.364,0.494,0.858,127,0.363,129,118,5,0,0,0,0,79/H8D,0,Right,No,No,No,No,No,No,No,No,No
Mike Ford*,26,1B,1.0,50,163,143,30,37,7,0,12,25,0,0,17,28,0.259,0.35,0.559,0.909,137,0.378,137,80,0,3,0,0,2,3DH/1,0,Left,No,No,No,No,No,No,No,No,No
Giancarlo Stanton,29,OF,0.4,18,72,59,8,17,3,0,3,13,0,0,12,24,0.288,0.403,0.492,0.894,138,0.379,137,29,1,0,0,1,0,7/D9,0,Right,No,No,No,No,No,No,No,No,No
Thairo Estrada,23,MI,0.3,35,69,64,12,16,3,0,3,12,4,0,3,15,0.25,0.294,0.438,0.732,92,0.335,96,28,1,1,1,0,0,4H/679D,0,Right,No,No,No,No,No,No,No,No,No
Tyler Wade*,24,UT,0.2,43,108,94,16,23,3,1,2,11,7,0,11,28,0.245,0.33,0.362,0.692,86,0.315,81,34,0,1,2,0,0,47/H5689D,0,Left,No,No,No,No,No,No,No,No,No
Kyle Higashioka,29,C,0.0,18,57,56,8,12,5,0,3,11,0,0,0,26,0.214,0.211,0.464,0.675,72,0.268,59,26,1,0,0,1,0,2,0,Right,No,No,No,No,No,No,No,No,No
Kendrys Morales#,36,DH,-0.4,19,75,62,7,11,1,0,1,5,0,0,12,6,0.177,0.32,0.242,0.562,55,0.267,58,15,3,1,0,0,0,D/3H,0,Both,No,No,No,No,No,No,No,No,No
Breyvic Valera#,27,2B,0.0,12,37,32,5,7,1,1,0,3,0,0,4,5,0.219,0.324,0.313,0.637,73,0.286,72,10,0,1,0,0,0,4/H,0,Both,No,No,No,No,No,No,No,No,No
