Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
26,Freddy Tarnok,24,,0.1,1,1,.500,4.91,5,1,1,0,0,0,14.2,11,8,8,4,11,0,14,0,0,2,65,88,7.14,1.500,6.8,2.5,6.8,8.6,1.27,
27,Chad Smith,28,,-0.1,1,2,.333,6.59,10,0,5,0,0,0,13.2,15,10,10,2,7,0,9,2,0,1,60,65,5.82,1.610,9.9,1.3,4.6,5.9,1.29,
28,Jeurys Familia,33,,-0.5,0,1,.000,6.39,14,0,3,0,0,2,12.2,13,12,9,2,13,0,9,1,0,0,64,67,7.20,2.053,9.2,1.4,9.2,6.4,0.69,
29,Spencer Patton,35,,0.0,0,0,,5.11,12,0,5,0,0,0,12.1,13,7,7,3,6,1,7,0,0,0,55,85,6.74,1.541,9.5,2.2,4.4,5.1,1.17,
30,Kirby Snead*,28,,0.0,1,2,.333,4.63,15,0,2,0,0,0,11.2,14,7,6,1,6,1,9,0,0,3,56,93,4.37,1.714,10.8,0.8,4.6,6.9,1.50,
31,Joey Estes,21,,-0.2,0,1,.000,7.20,2,2,0,0,0,0,10.0,12,9,8,4,2,1,7,3,0,1,47,60,8.56,1.400,10.8,3.6,1.8,6.3,3.50,
32,Domingo Acevedo,29,,-0.7,0,0,,10.61,9,0,1,0,0,0,9.1,16,11,11,2,2,1,7,1,0,1,47,41,5.51,1.929,15.4,1.9,1.9,6.8,3.50,
33,Rico Garcia,29,,-0.2,0,0,,8.31,7,0,1,0,0,0,8.2,13,8,8,4,5,0,6,0,0,0,44,53,9.60,2.077,13.5,4.2,5.2,6.2,1.20,
34,Tayler Scott,31,,0.2,0,0,,3.38,8,1,1,0,0,0,8.0,11,3,3,2,2,0,7,1,0,0,38,130,5.88,1.625,12.4,2.3,2.3,7.9,3.50,
35,Easton Lucas*,26,,-0.1,0,0,,8.10,6,0,1,0,0,0,6.2,10,6,6,1,4,1,7,0,0,2,35,55,4.91,2.100,13.5,1.4,5.4,9.5,1.75,
36,Devin Sweet,26,,-0.2,1,0,1.000,10.80,5,0,1,0,0,0,6.2,8,8,8,3,5,0,5,2,0,0,34,41,10.76,1.950,10.8,4.1,6.8,6.8,1.00,
37,Garrett Acton,25,,-0.4,0,0,,12.71,6,0,3,0,0,0,5.2,9,8,8,3,5,2,5,1,0,0,32,35,11.55,2.471,14.3,4.8,7.9,7.9,1.00,
38,Spenser Watkins,30,,-0.2,0,1,.000,10.38,1,1,0,0,0,0,4.1,7,5,5,2,2,0,4,0,0,0,21,44,8.79,2.077,14.5,4.2,4.2,8.3,2.00,
39,Jace Peterson,33,,0.0,0,0,,9.00,2,0,2,0,0,0,2.0,3,2,2,1,3,0,1,0,0,0,12,55,13.26,3.000,13.5,4.5,13.5,4.5,0.33,
40,Yacksel Ríos,30,,-0.3,0,0,,37.80,3,0,2,0,0,0,1.2,3,7,7,1,6,0,2,0,0,2,14,14,19.46,5.400,16.2,5.4,32.4,10.8,0.33,
41,Carlos Pérez,32,,0.0,0,0,,10.80,2,0,2,0,0,0,1.2,4,2,2,1,2,0,0,0,0,0,10,47,14.66,3.600,21.6,5.4,10.8,0.0,0.00,
