Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Robert Stephenson,23,P,-0.2,8,13,10,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100,0.0,-214,0,1,0,3,0,0,/1,0,Right,No,No,No,No,No,No,No,
Raisel Iglesias,26,P,-0.1,35,11,11,0,1,0,0,0,0,0,0,0,2,0.091,0.091,0.091,0.182,-51,0.082,-83,1,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Josh A. Smith,28,P,0.0,32,11,11,0,2,1,0,0,0,0,0,0,4,0.182,0.182,0.273,0.455,19,0.195,-2,3,0,0,0,0,0,1/H,0,Right,No,No,No,No,No,No,No,
Homer Bailey,30,P,-0.1,6,11,10,0,1,0,0,0,0,0,0,1,1,0.1,0.182,0.1,0.282,-22,0.136,-44,1,1,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Keyvius Sampson,25,P,-0.1,18,7,7,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,-100,0.0,-143,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Jon Moscot,24,P,0.0,5,7,4,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.2,-40,0.146,-93,0,0,1,2,0,0,/1,0,Right,No,No,No,No,No,No,No,
Daniel Wright,25,P,-0.1,4,6,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-193,0,0,0,1,0,0,/1,0,Right,No,No,No,No,No,No,No,
Blake Wood,30,P,0.0,67,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-143,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Drew Hayes,28,P,0.0,6,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-409,0,0,0,1,0,0,/1,0,Right,No,No,No,No,No,No,No,
Tim Melville,26,P,0.0,3,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-143,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Tony Cingrani*,26,P,0.1,62,1,0,1,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0.697,373,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Jumbo Díaz,32,P,0.0,45,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-155,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
A.J. Morris,29,P,0.0,7,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-155,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Matt Magill,26,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
J.J. Hoover,28,P,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Layne Somsen,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
JC Ramírez,27,P,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Dayán Díaz,27,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Abel De Los Santos,23,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Steve Delabar,32,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Caleb Cotham,28,P,0.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Ross Ohlendorf,33,P,0.0,62,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Wandy Peralta*,24,P,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
