Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Erik González,26,IF,0.7,81,143,136,17,36,10,1,1,16,3,0,5,34,0.265,0.301,0.375,0.676,82,0.316,87,51,0,2,0,0,0,45H6/3D,0,Right,No
Yandy Díaz,26,DH,0.3,39,120,109,15,34,5,2,1,15,0,0,11,19,0.312,0.375,0.422,0.797,116,0.354,118,46,6,0,0,0,1,D/35H,0,Right,No
Bradley Zimmer*,25,CF,0.1,34,114,106,14,24,5,0,2,9,4,1,7,44,0.226,0.281,0.33,0.611,65,0.273,58,35,1,1,0,0,0,8/H,0,Left,No
Lonnie Chisenhall*,29,RF,0.3,29,95,84,11,27,6,1,1,9,1,0,8,12,0.321,0.394,0.452,0.846,129,0.369,128,38,2,2,1,0,1,9/H,0,Left,No
Josh Donaldson,32,3B,0.4,16,60,50,8,14,3,0,3,7,0,0,10,10,0.28,0.4,0.52,0.92,147,0.39,144,26,2,0,0,0,0,5/DH,0,Right,No
Rajai Davis,37,OF,-0.4,101,216,196,33,44,6,1,1,6,21,7,11,48,0.224,0.278,0.281,0.559,53,0.269,51,55,2,4,4,1,0,8H7D/9,0,Right,No
Leonys Martín*,30,CF,0.3,6,17,15,3,5,0,0,2,4,0,1,1,2,0.333,0.353,0.733,1.086,183,0.398,171,11,1,0,0,1,0,/8H9,0,Left,No
Brandon Barnes,32,OF,0.0,19,21,19,2,5,0,0,1,2,0,0,2,5,0.263,0.333,0.421,0.754,103,0.327,99,8,1,0,0,0,0,9/H784,0,Right,No
Adam Rosales,35,IF,-0.1,13,21,19,4,4,1,0,1,2,0,0,1,5,0.211,0.25,0.421,0.671,77,0.286,68,8,0,0,1,0,0,/H3456,0,Right,No
Eric Haase,25,C,-0.3,9,17,16,0,2,0,0,0,1,0,0,0,6,0.125,0.176,0.125,0.301,-16,0.142,-33,2,1,1,0,0,0,/2HD,0,Right,No
Carlos Carrasco,31,P,0.0,1,4,4,0,1,0,0,0,1,0,0,0,2,0.25,0.25,0.25,0.5,37,0.224,26,1,0,0,0,0,0,1,0,Right,No
Corey Kluber,32,P,-0.1,3,6,6,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100,0.0,-136,0,0,0,0,0,0,1,"AS,CYA-3",Right,No
Francisco Mejia#,22,DH,0.0,1,4,2,0,0,0,0,0,0,0,0,2,0,0.0,0.5,0.0,0.5,55,0.347,113,0,0,0,0,0,0,/D,0,Both,No
Shane Bieber,23,P,0.1,2,5,4,0,1,1,0,0,0,0,0,1,2,0.25,0.4,0.5,0.9,142,0.386,141,2,0,0,0,0,0,1,0,Right,No
Mike Clevinger,27,P,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100,0.0,-134,0,0,0,0,0,0,1,0,Right,No
Trevor Bauer,27,P,0.0,1,3,3,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-137,0,0,0,0,0,0,1,"AS,CYA-6,MVP-22",Right,No
Adam Plutko,26,P,0.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,2,0,0,1,0,Right,No
Neil Ramírez,29,P,0.0,3,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-133,0,0,0,0,0,0,1,0,Right,No
Andrew Miller*,33,P,0.0,3,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-133,0,0,0,0,0,0,1,0,Left,No
Josh Tomlin,33,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Brad Hand*,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,AS,Left,No
Óliver Pérez*,36,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
Dan Otero,33,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Tyler Olson,28,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Zach McAllister,30,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Evan Marshall,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
George Kontos,33,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
Oliver Drake,31,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
Cody Allen,29,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
